name	author	enable	local	remote_repository	remote_commit	remote_path
bartblaze-hacktools-windows-credentials-editor	Bart P	FALSE	bartblaze/hacktools/Windows_Credentials_Editor.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/hacktools/Windows_Credentials_Editor.yar
bartblaze-ransomware-avaddon	Bart P	FALSE	bartblaze/ransomware/Avaddon.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/ransomware/Avaddon.yar
bartblaze-ransomware-blackkingdom	Bart P	FALSE	bartblaze/ransomware/BlackKingDom.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/ransomware/BlackKingDom.yar
bartblaze-ransomware-crylock	Bart P	FALSE	bartblaze/ransomware/CryLock.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/ransomware/CryLock.yar
bartblaze-ransomware-darkside	Bart P	FALSE	bartblaze/ransomware/Darkside.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/ransomware/Darkside.yar
bartblaze-ransomware-dearcry	Bart P	FALSE	bartblaze/ransomware/DearCry.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/ransomware/DearCry.yar
bartblaze-ransomware-ekans	Bart P	FALSE	bartblaze/ransomware/Ekans.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/ransomware/Ekans.yar
bartblaze-ransomware-fusion	Bart P	FALSE	bartblaze/ransomware/Fusion.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/ransomware/Fusion.yar
bartblaze-ransomware-maze	Bart P	FALSE	bartblaze/ransomware/Maze.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/ransomware/Maze.yar
bartblaze-ransomware-pysa	Bart P	FALSE	bartblaze/ransomware/Pysa.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/ransomware/Pysa.yar
bartblaze-ransomware-ragnarlocker	Bart P	FALSE	bartblaze/ransomware/RagnarLocker.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/ransomware/RagnarLocker.yar
bartblaze-ransomware-revil-cert	Bart P	FALSE	bartblaze/ransomware/REvil_Cert.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/ransomware/REvil_Cert.yar
bartblaze-ransomware-revil-dropper	Bart P	FALSE	bartblaze/ransomware/REvil_Dropper.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/ransomware/REvil_Dropper.yar
bartblaze-ransomware-satan-mutexes	Bart P	FALSE	bartblaze/ransomware/Satan_Mutexes.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/ransomware/Satan_Mutexes.yar
bartblaze-ransomware-sfile	Bart P	FALSE	bartblaze/ransomware/Sfile.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/ransomware/Sfile.yar
